Felt_Cp,20000
CF_Cp,1100
Epoxy_Cp,1730
Al_Cp,890
SS_Cp,510
Felt_k,0.107
CF_k,10
Epoxy_k,0.44
Al_k,210
SS_k,21.5
Felt_rho,145
CF_rho,1850
Epoxy_rho,300
Al_rho,2700
SS_rho,8000
Felt_Tg,120073.15
CF_Tg,523.15
Epoxy_Tg,396.15
Al_Tg,610
SS_Tg,1033.15
